Job Id,Experience,Qualifications,Work Type,Job Title,Role,Job Description,Skills,Company
2.28E+15,3 to 9 Years,MBA,Temporary,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,HCL Technologies
2.26E+15,4 to 12 Years,BBA,Temporary,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,DTE Energy
1.50E+15,5 to 15 Years,M.Tech,Contract,Sales Consultant,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,Associated British Foods
2.43E+15,4 to 15 Years,BA,Part-Time,Civil Engineer,Structural Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Xcel Energy
1.36E+15,0 to 12 Years,M.Com,Intern,Network Security Specialist,Security Operations Center (SOC) Analyst,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.","SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage",Deutsche Post DHL Group
1.36E+15,2 to 10 Years,BBA,Intern,UI Developer,Front-End Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",Bodycote
2.02E+15,4 to 8 Years,BA,Intern,Financial Planner,Tax Planner,"Assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations.",Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance,Old Republic International
4.19E+14,3 to 8 Years,BA,Part-Time,Event Planner,Event Coordinator,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",Event planning Vendor coordination Budget management Marketing and promotion Logistics,United Airlines Holdings
6.19E+14,1 to 14 Years,M.Com,Contract,Psychologist,Clinical Psychologist,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.",Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,Tenet Healthcare
2.06E+15,1 to 13 Years,B.Com,Contract,Electrical Designer,Electrical Engineer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,Regions Financial
1.89E+15,0 to 8 Years,M.Com,Temporary,Electrical Designer,Lighting Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,CBRE Group
9.82E+14,3 to 10 Years,M.Com,Part-Time,Data Analyst,Business Intelligence Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making","Wyndham Hotels & Resorts, Inc."
3.02E+15,0 to 12 Years,PhD,Intern,Technical Writer,Content Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,Corning
4.88E+14,0 to 8 Years,BA,Temporary,UX/UI Designer,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Leidos Holdings
1.70E+15,4 to 12 Years,M.Com,Part-Time,Tax Consultant,Personal Tax Consultant,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency,Divi's Laboratories
2.81E+15,5 to 10 Years,MBA,Full-Time,Software Tester,Automation Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",Tata Consumer Products
1.46E+15,5 to 14 Years,BCA,Intern,Account Executive,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Fannie Mae
2.15E+15,2 to 13 Years,BCA,Part-Time,Systems Administrator,IT Support Specialist,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,Spotify Technology S.A.
1.19E+15,4 to 9 Years,BA,Intern,Account Director,Account Strategist,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Bajaj Auto
1.89E+15,0 to 10 Years,PhD,Part-Time,Digital Marketing Specialist,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Renishaw
3.86E+14,1 to 15 Years,BBA,Temporary,Database Administrator,Database Developer,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.","Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge",News Corp.
1.62E+15,1 to 15 Years,B.Tech,Intern,Research Analyst,Social Science Researcher,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy",KKR
1.37E+15,3 to 9 Years,B.Tech,Temporary,Data Entry Clerk,Record Keeper,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",Records management Data entry and retrieval Attention to detail,Arconic
2.83E+15,5 to 14 Years,MCA,Intern,Registered Nurse,Staff Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",Nursing care Patient assessment Medical knowledge,"Revlon, Inc."
2.28E+15,3 to 8 Years,BA,Temporary,Tax Consultant,International Tax Consultant,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.",International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency,Dow
1.62E+15,4 to 8 Years,MCA,Temporary,Investment Analyst,Risk Analyst,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,Seaboard
6.14E+13,5 to 10 Years,M.Com,Temporary,Speech Therapist,Speech Pathologist,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication.",Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills,Philip Morris International
1.44E+14,4 to 8 Years,B.Com,Contract,Sales Manager,Regional Sales Director,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",Sales strategy development Territory management Sales team leadership,Enterprise Products Partners
9.72E+14,4 to 10 Years,BCA,Full-Time,Social Worker,Mental Health Counselor,"Offer counseling and therapy services to individuals, couples, or groups, helping them address mental health concerns.",Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification,Bayer AG
8.32E+14,5 to 12 Years,PhD,Part-Time,Nurse Practitioner,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",Family medicine Health assessment Pediatric care Chronic disease management Patient education,Carrier Global
1.89E+15,0 to 13 Years,B.Com,Temporary,Landscape Architect,Urban Planner,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",Urban design and planning Zoning regulations GIS and mapping tools,UnitedHealth Group
1.93E+15,5 to 15 Years,B.Tech,Temporary,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,Avnet
2.90E+15,4 to 14 Years,B.Tech,Intern,UX Researcher,User Researcher,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.",User research methods Usability testing Data analysis and interpretation,UGI
2.16E+15,4 to 11 Years,BA,Temporary,Account Manager,Sales Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",Account management Sales strategy Negotiation and closing skills,Disney+
8.20E+14,2 to 10 Years,B.Com,Part-Time,Investment Banker,Financial Analyst,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.",Financial analysis Data analysis Financial modeling,General Electric
4.64E+14,2 to 9 Years,BBA,Intern,IT Support Specialist,Desktop Support Technician,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",Brighthouse Financial
9.15E+14,3 to 12 Years,BA,Temporary,Art Director,Art Curator,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.",Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,Deutsche Pfandbriefbank AG
4.02E+14,5 to 12 Years,PhD,Full-Time,Account Executive,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,GlaxoSmithKline
1.38E+15,0 to 11 Years,M.Tech,Contract,Software Developer,Mobile App Developer,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",Starbucks
2.02E+15,1 to 11 Years,BCA,Intern,Project Manager,Agile Project Manager,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.","Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)",Hindalco Industries
1.70E+15,4 to 13 Years,MCA,Full-Time,Civil Engineer,Structural Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Lincoln National
1.79E+15,0 to 8 Years,BCA,Part-Time,Customer Service Manager,Service Quality Assurance Manager,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.",Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,HCL Technologies
1.12E+15,4 to 13 Years,MBA,Full-Time,Procurement Manager,Procurement Analyst,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Nestle India
2.91E+15,3 to 10 Years,B.Com,Intern,Substance Abuse Counselor,Family Counselor,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.",Family counseling Marriage and family therapy Conflict resolution skills,Electrocomponents
1.07E+15,1 to 15 Years,MCA,Intern,Supply Chain Analyst,Logistics Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,Community Health Systems
2.85E+15,0 to 9 Years,B.Tech,Intern,Data Engineer,Data Architect,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Data architecture design Database management systems Data modeling,Equitable Holdings
1.85E+15,3 to 9 Years,MCA,Part-Time,Sales Manager,Regional Sales Director,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",Sales strategy development Territory management Sales team leadership,Bajaj Finserv
7.51E+14,5 to 8 Years,BBA,Contract,Supply Chain Analyst,Logistics Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,PulteGroup
1.54E+15,5 to 14 Years,BA,Part-Time,UX/UI Designer,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Stockland Corporation
7.47E+14,2 to 12 Years,BA,Contract,Software Tester,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",Group 1 Automotive
3.07E+15,1 to 9 Years,MCA,Contract,Software Tester,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",Altria Group
1.42E+15,1 to 10 Years,B.Com,Full-Time,Technical Writer,Documentation Specialist,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.",Document management Recordkeeping Attention to detail Data entry Organizational skills,Reynolds American Inc.
4.78E+14,1 to 8 Years,BA,Full-Time,Accountant,Financial Accountant,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization.","Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge",Huntsman
1.07E+15,4 to 8 Years,PhD,Contract,Sales Representative,Inside Sales Representative,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.","Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building",McDonald's
2.52E+15,4 to 11 Years,B.Com,Contract,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,Republic Services
4.33E+14,2 to 15 Years,BBA,Intern,Network Administrator,Network Security Analyst,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,Republic Services
7.09E+14,4 to 11 Years,PhD,Intern,Purchasing Agent,Inventory Manager,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.",Inventory control Demand forecasting Supply chain management Data analysis Warehouse management,Continental AG
2.47E+15,1 to 14 Years,BCA,Contract,QA Analyst,Automation Test Engineer,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Tesla
4.48E+14,4 to 13 Years,MCA,Full-Time,UX/UI Designer,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Continental Resources
3.07E+15,4 to 9 Years,BA,Full-Time,Sales Representative,Inside Sales Representative,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.","Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building",Henkel AG & Co. KGaA
3.02E+15,1 to 11 Years,BBA,Intern,Environmental Consultant,Sustainability Consultant,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.",Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,WESCO International
2.93E+15,5 to 13 Years,BBA,Temporary,Electrical Engineer,Electronics Hardware Engineer,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.",Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,Unilever
1.10E+15,0 to 9 Years,M.Tech,Temporary,Systems Engineer,Systems Integration Specialist,"The role of a Systems Integration Specialist involves integrating various software and hardware components to create cohesive systems. You will design and implement solutions that enable different systems to communicate and work together seamlessly. Your responsibilities also include troubleshooting integration issues, ensuring data consistency, and collaborating with cross-functional teams.",Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting,NRG Energy
2.51E+15,0 to 13 Years,BBA,Full-Time,Brand Manager,Brand Strategist,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,InterContinental Hotels Group
2.40E+15,5 to 11 Years,BCA,Full-Time,Electrical Designer,Electrical Engineer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,"Revlon, Inc."
2.07E+15,2 to 14 Years,PhD,Temporary,Nurse Practitioner,Acute Care Nurse Practitioner,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.",Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning,Ceconomy AG (Formerly Metro AG)
2.42E+15,2 to 13 Years,B.Tech,Part-Time,Litigation Attorney,Trial Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.",Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,Constellation Brands
1.58E+15,2 to 9 Years,BBA,Contract,Network Engineer,Network Security Engineer,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.",Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,Interpublic Group
1.64E+15,2 to 12 Years,MBA,Temporary,Psychologist,Research Psychologist,"Research Psychologists conduct psychological research to advance the fields understanding. They design studies, collect data, and analyze results to inform scientific knowledge.",Research methodology Data analysis Psychological studies Writing research reports Critical thinking,Auto-Owners Insurance
